image_id,selected_match
00dd883fa9b84a92bdf0323e9522b316,0
01b3fc67e0084be79b64409032a9b839,"0,1,2,3,4"
01c0419fc493478c838a38a320debeb2,"0,1,2,3,4"
03602b3e2f3544d690c742972d46a480,"1,2,3,4"
05b1717c97a54140b5228e3bade1aa8c,4
06986bf803f04064a93d445299214971,"0,1,2"
087766d3cf19403dadc91445762f3e25,0
09fa87e74e1943ee915f29ce76c42058,"0,1"
0a013dfcc2ac4521bf8f4b5299fa1ca8,"0,1,2,4"
0a8d93642a694ba5979a7a902bf2582a,4
0b4459e42cb44b1fa957de0ed12f448d,"0,1,2,3,4"
0c286060eb0c4d8c90cfabc807bab05d,"0,1,2"
0cc2bcd513af41c3b9c6f19c804666d2,0
0ecbc588f8334ce099f5cf2e0a89399b,1
0f8013714f35440d9c1ed3ab53a43f8d,2
0f8ce22f397d454caa3d1042b0d23d34,"0,2"
10b1891388e04455bb875a06c82fd3e8,2
11c84b11c257426b8345efae57f67165,"0,1,2"
1228ba696e2a430d94bc7231da571533,1
14173174a48546179c4937053037111c,"0,2"
1429b979f92e4e51b28f5590696bd3e2,0
16074d308509416fa3b21269a9579c8f,"0,1,4"
1613f2ef9c4e4750856ed9eca3d46f3e,"0,2,4"
17460f119a7f4cc8ad8faf489729985a,"0,3"
19361287a8d1435891f49215327ec11b,"0,1,3,4"
1b4e397ec91b4ce196ba0bd53ac3e231,0
1c8e97d8f85a470f87b5b60270b4daf0,"0,3"
1d54dc9201254a4a8fbbd27dd92d907f,"1,2"
1d62ff02d626493193454967252c6d8a,1
1dd6afa0f43d4feea89fa65e9f970d7a,0
1e772e35e7c14dd6bcd6a193cd161682,"1,2,3,4"
20334d55f3af46c0839ac1a249682f1d,"0,3,4"
2193d37bb24246c1a9e1b4356e99d894,2
224f9f213d4049f4939c2a8c6c63b1b5,1
24b632d99e834252bdb20410315b6059,4
262d3a35714741a6a9c5c726bb0a3ba1,"0,1,3,4"
2671516714804b0b98fbfd408ccd8ac0,"0,2"
2a93f9383e5c402b8204a4e5a961e57f,0
2b761fc4bcbb44c18585db83761b5016,0
2bd7eff616654f22ae61937268fe20d6,1
2d9128c8afe247bd8f8c5f249d148af2,0
2df17e0d61c547c8b332064cef2f1412,4
2e42bc42b1e2468a8d11fdafb832971b,0
2e56d57a453844a3a317dac76abdaee2,"1,2,4"
2ed186ceb5704ef08eabb4a4904f1565,0
2f02e8d5097a4b758510dc9b74525cf0,"0,1,2,3,4"
301aad50333f4ec8b02154a4a0eaebf2,3
32cf749c6b2f4b989d09817ce8b9e34b,0
33793e4618ab4fde9e9d9da5aaf61589,"0,2"
36727b7eef6e4efb9748a94d68407ffe,"0,1,2,3,4"
3734f2a64fde466e8197334060d53854,4
374afcef7dd24a0ab919622d504113f2,1
37da441e61574ba5ae01b4ad198da6ef,"0,2,3,4"
3838ffeb433a4a4a987617953f61506c,0
3ae6a75be4a147269c6372342d114d7c,"0,1,2,3,4"
3afdca373acd497d8ae7e56f3dd39108,"0,1,2,3,4"
3bb47c84fdbc4d01be61a9d3d5dc4656,0
3d09c57e403b46d1963c1a8ded7b1d4a,0
3e0f0bedf5624db4bb6b8533562cfb65,0
3e2f6f80a32f4580b1a0ba1049855817,0
3f5d49b9bd1e4faeac8ba8223a37d14e,"0,1,2,3,4"
4008a64d4f8d466face016ff0c77a2db,"0,1,2"
404e1d1e86214a16bf95a848e4936319,"0,1"
416aac412f1d405db86e769f5b2ede83,"0,1,2,3,4"
419369734ba54628a9634a89bb8f3bce,"0,1,2,3,4"
45dcc4df4e5241e79bdab8a8ddc048e7,"0,1,2,3,4"
45f6943cea9f4e47bac783f88c0275b1,"0,2,3,4"
47ef9755bc3e4f70a4bc7498439f864e,"1,2"
4b1c64b3d96b48b98944e729aa2ba103,"0,1,2,3,4"
bbbc6079583947fd921774b2d59f1d39,"0,1,2,3,4"
bf5c45e3eec44669a14bbd05b3ea4290,"0,1,2,3,4"
bfdf762a6f724a12b3a703696f5f7d0c,"1,2,3,4"
c006188642c841ca92449574e5e08090,"0,1,2,3,4"
c02af1a992e44eb89bd6ee453cc9e275,"0,1,2,3,4"
c138ce63d012410e88f239099fc39463,"0,1,2,3,4"
c57a95303c874f4f89df589e8ef07b1d,"0,1,2,3,4"
c6ed8d4f91bd41fd8d140a3cf3e5bd67,"0,1"
c84be856f81f44a1a4a7ea3a7e3a9e00,"0,1,2,3,4"
c96203ded8004bddbbe34c1ed7e03118,"0,1,2,4"
d51da5fe15e9411b916c277bb8e21146,"0,1,2,3,4"
d551d3c103694fd4a04da422ef5ad4fa,"0,2"
d590005b8b9946fdaf0b4f679d878cad,2
d86300b6089e45f3a19efbab77b17873,"0,1,2,3,4"
d8b6754ee08a4b9487e0ab2200ecc7db,"0,1,2,3,4"
d920af689645404aa0d39f914fe1807c,0
d98f3eeeb1ab48ef91b4420b66fa5b89,"1,2"
da8c05798be84d6a8937a682d1ec09cd,"0,2,3,4"
dbf7b363b70a4d5aa610610002f658a1,"0,1,2,3,4"
de323e607e3a4c2698cec0ad8e654b20,"0,1,2,4"
e2d9f1e26ea645bc887077735eb0f727,"1,3"
e50c0b94c4dc4ba99c0884e125c16cf1,"0,1"
e50c9fd873bf4bba8592aacbed7a36f9,1
e5bfe3f3842f48159601fefac17fba44,"0,1,2,3,4"
e5cfe7f7049e41f7af6dddcc7c4a5668,0
e6a6d8174ed24408a5045e7035196d5e,3
ed8fa13e78054468907058fc6c02d902,0
eead9b3529a043718d21b8432b02feee,"0,1,2,3,4"
f26bddc2b2404715afab7221e683b290,0
f3df24701fce4f73a49aed806ed2f500,1
f500ab94535a4eea873b6de40e8cae2f,"3,4"
f60c76384ff54a35a760a88fbdd8e9bd,"0,1,2,3,4"
f7716d94078e450daddf1b428725fce6,0
f7f869ef27ef448db4a900b5deff9549,0
f8cc2b79f1404d019c27eb0f083fd88b,0
f97d3403714f47b48b1c598d8596a5f2,"0,1,2,3,4"
fc80b7578ff841a681dbcd6944f33b9f,3
fd0c0cf46aa740b88898c7a201327a62,0
fd3166a368ac4cb883f7dcccdf50b32f,"0,1,2,3,4"
fd93ca5ea2da4b2799c12ca9f6c7abe2,"0,1,2,3,4"
ff7d709edf2a4ab2a5acf960585b2c2b,0
